0x77,0x77,0x7A,0x04	"刷写指纹信息: "
0xF1,0x0E,0x91,0x03	"2.4L-2WD"
0xF1,0x0E,0x91,0x02	"1.8T-4WD"
0xF1,0x0E,0x91,0x01	"1.8T-2WD"
0xF1,0x0E,0x97,0x16	"自学习结束"
0xF1,0x0E,0x97,0x15	"当前油门踏板开度阀值为:"
0xF1,0x0E,0x97,0x14	"当前为工厂离合器自适应模式"
0xF1,0x0E,0x97,0x13	"当前为非工厂离合器自适应模式"
0xF1,0x0E,0x97,0x12	"是否需要执行离合器2半结合点自学习?"
0xF1,0x0E,0x97,0x11	"是否需要执行离合器1半结合点自学习?"
0xF1,0x0E,0x97,0x10	"拉上手刹，发动机起动，踩住制动踏板"
0xF1,0x0E,0x97,0x0F	"松开油门踏板后，再次踩下油门踏板，并始终保持踩住制动踏板\n和油门踏板到全油门，发动机转速大于3500rpm并维持2s 后，\n在维持发动机转速一直大于3500rpm"
0xF1,0x0E,0x97,0x0E	"发动机起动，3s 后待发动机转速稳定，并始终保持踩住制动踏板\n为保证发动机怠速时提供足够扭矩，需关闭空调等影响负载的电器"
0xF1,0x0E,0x97,0x0D	"始终保持踩住制动踏板,并同时保持踩住油门踏,板到全油门\n发动机转速大于3500rpm并维持2s 后，在维持发动机转速一直大于3500rpm的情况下"
0xF1,0x0E,0x97,0x0C	"发动机起动，并始终保持踩住制动踏板"
0xF1,0x0E,0x97,0x0B	"保持IG ON、拉上手刹、P档，发动机不启动,切换至N档并保持"
0xF1,0x0E,0x97,0x0A	"变速箱自学习失败\nIG OFF，等待3秒"
0xF1,0x0E,0x97,0x09	"IG ON,发动机不起动"
0xF1,0x0E,0x97,0x08	"IG OFF等待10秒，把数据保存至内部存储器中"
0xF1,0x0E,0x97,0x07	"等待10秒，待数据保存至内部存储器中"
0xF1,0x0E,0x97,0x06	"拉上手刹，发动机启动，踩住制动踏板，并把换档杆切换到R档"
0xF1,0x0E,0x97,0x05	"发动机起动，并始终保持踩住制动踏板"
0xF1,0x0E,0x97,0x04	"拉上手刹，P档，发动机启动，并踩住制动踏板发动机转速大于400RPM并维持2s后，在维持发动机转速一直大于400RPM的情况下，点击'确定'"
0xF1,0x0E,0x97,0x03	"学习成功\nIG OFF等待10秒，待数据保存至内部存储器中"
0xF1,0x0E,0x97,0x02	"P档学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x97,0x01	"保持IG ON、拉上手刹、P档，发动机不启动。"
0xF1,0x0E,0x97,0x00	"IG OFF等待10秒，待数据保存至内部存储器中"
0xF1,0x0E,0x83,0x11	"Clutch2actuator位置control学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x10	"Clutch1actuator位置control学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x0F	"Clutch1Characteris-ticCurveAdaptation学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x0E	"Clutch1Characteris-ticCurveAdaptation学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x0D	"clutch2EOLcom-pletionflags复位失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x0C	"clutch1EOLcom-pletionflags复位失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x0B	"Clutch2TouchpointAdaptation学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x0A	"Clutch1TouchpointAdaptation学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x09	"Clutch2SelfOpenDurationMeasure-ment学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x08	"Clutch1SelfOpenDurationMeasure-ment学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x07	"IG OFF,请等待3s"
0xF1,0x0E,0x83,0x06	""
0xF1,0x0E,0x83,0x05	"InitialClutch2Ad-justment学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x04	"InitialClutch1Ad-justment学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x03	"ClutchAssembly学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x02	"Clutch2TravelTest学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x83,0x01	"Clutch1TravelTest学习失败\nIG OFF等待3秒"
0xF1,0x0E,0x81,0x02	"请等待"
0xF1,0x0E,0x81,0x01	"进行中，请等待......."
0xF1,0x0E,0x84,0x03	"自学习失败\nIG OFF等待3秒,请重新执行"
0xF1,0x0E,0x84,0x02	"clutch2EOLcom-pletionflags失败\nIG OFF等待3秒"
0xF1,0x0E,0x84,0x01	"clutch1EOLcom-pletionflags失败\nIG OFF等待3秒"
0xF1,0x0E,0x85,0x09	"学习失败"
0xF1,0x0E,0x30,0x03	"TCU印制电路板温度"
0xF1,0x0E,0x30,0x02	"扫描工具"
0xF1,0x0E,0x30,0x01	"档位选择器信息"
0xF1,0x0E,0x31,0x09	"无效信号"
0xF1,0x0E,0x31,0x08	"合法"
0xF1,0x0E,0x31,0x07	"不合法"
0xF1,0x0E,0x31,0x06	"未激活"
0xF1,0x0E,0x31,0x05	"激活"
0xF1,0x0E,0x31,0x04	"未锁止"
0xF1,0x0E,0x31,0x03	"锁止"
0xF1,0x0E,0x31,0x02	"不在换挡过程中"
0xF1,0x0E,0x31,0x01	"在换挡过程中"
0xF1,0x0E,0x36,0x39	"TCU输出轴转速:"
0xF1,0x0E,0x36,0x38	"TCU输入轴转速:"
0xF1,0x0E,0x36,0x37	"供电电压:"
0xF1,0x0E,0x36,0x36	"W/N/P模式开关:"
0xF1,0x0E,0x36,0x35	"VBS线性电磁阀10的占空比:"
0xF1,0x0E,0x36,0x34	"VBS线性电磁阀9的占空比:"
0xF1,0x0E,0x36,0x33	"VBS线性电磁阀8的占空比:"
0xF1,0x0E,0x36,0x32	"VBS线性电磁阀7的占空比:"
0xF1,0x0E,0x36,0x31	"VBS线性电磁阀6的占空比:"
0xF1,0x0E,0x36,0x30	"VBS线性电磁阀5的占空比:"
0xF1,0x0E,0x36,0x29	"VBS线性电磁阀10的反馈值:"
0xF1,0x0E,0x36,0x28	"VBS线性电磁阀10的当前值:"
0xF1,0x0E,0x36,0x27	"VBS线性电磁阀9的反馈值:"
0xF1,0x0E,0x36,0x26	"VBS线性电磁阀9的当前值:"
0xF1,0x0E,0x36,0x25	"VBS线性电磁阀8的反馈值:"
0xF1,0x0E,0x36,0x24	"VBS线性电磁阀8的当前值:"
0xF1,0x0E,0x36,0x23	"VBS线性电磁阀7的反馈值:"
0xF1,0x0E,0x36,0x22	"VBS线性电磁阀7的当前值:"
0xF1,0x0E,0x36,0x21	"VBS线性电磁阀6的反馈值:"
0xF1,0x0E,0x36,0x20	"VBS线性电磁阀6的当前值:"
0xF1,0x0E,0x36,0x19	"VBS线性电磁阀5的反馈值:"
0xF1,0x0E,0x36,0x18	"VBS线性电磁阀5的当前值:"
0xF1,0x0E,0x36,0x17	"V_sensor的指令值:"
0xF1,0x0E,0x36,0x16	"VSpareHSD的指令值:"
0xF1,0x0E,0x36,0x15	"On/Off电磁阀6的指令值:"
0xF1,0x0E,0x36,0x14	"On/Off电磁阀5的指令值:"
0xF1,0x0E,0x36,0x13	"On/Off电磁阀4的指令值:"
0xF1,0x0E,0x36,0x12	"On/Off电磁阀3的指令值:"
0xF1,0x0E,0x36,0x11	"On/Off电磁阀2的指令值:"
0xF1,0x0E,0x36,0x10	"On/Off电磁阀1的指令值:"
0xF1,0x0E,0x36,0x09	"V_sensor的监视值:"
0xF1,0x0E,0x36,0x08	"VSpareHSD的监视值:"
0xF1,0x0E,0x36,0x07	"On/Off电磁阀6的监视值:"
0xF1,0x0E,0x36,0x06	"On/Off电磁阀5的监视值:"
0xF1,0x0E,0x36,0x05	"On/Off电磁阀4的监视值:"
0xF1,0x0E,0x36,0x04	"On/Off电磁阀3的监视值:"
0xF1,0x0E,0x36,0x03	"On/Off电磁阀2的监视值:"
0xF1,0x0E,0x36,0x02	"On/Off电磁阀1的监视值:"
0xF1,0x0E,0x36,0x01	"当前故障的DTC码:"
0xF1,0x0E,0x36,0x61	"当前油门踩压位置"
0xF1,0x0E,0x36,0x60	"引擎冷却剂温度:"
0xF1,0x0E,0x36,0x59	"引擎输出扭矩:"
0xF1,0x0E,0x36,0x58	"引擎输出目标扭矩:"
0xF1,0x0E,0x36,0x57	"引擎转速:"
0xF1,0x0E,0x36,0x56	"请求限制扭矩控制值:"
0xF1,0x0E,0x36,0x55	"请求减少扭矩控制值:"
0xF1,0x0E,0x36,0x54	"引擎输出扭矩是否合法:"
0xF1,0x0E,0x36,0x53	"引擎冷却剂温度是否合法:"
0xF1,0x0E,0x36,0x52	"引擎转速是否合法:"
0xF1,0x0E,0x36,0x51	"TCU当前档位是否在换挡过程中是否合法:"
0xF1,0x0E,0x36,0x50	"刹车信号:"
0xF1,0x0E,0x36,0x49	"当前锁止状态:"
0xF1,0x0E,0x36,0x48	"TCU当前档位是否在换挡过程中:"
0xF1,0x0E,0x36,0x47	"换挡杆位置信号值:"
0xF1,0x0E,0x36,0x46	"换挡杆位置输入值:"
0xF1,0x0E,0x36,0x45	"档位比:"
0xF1,0x0E,0x36,0x44	"当前档位:"
0xF1,0x0E,0x36,0x43	"变速器油温传感器电压:"
0xF1,0x0E,0x36,0x42	"变速器油温:"
0xF1,0x0E,0x36,0x41	"引擎差数:"
0xF1,0x0E,0x36,0x40	"车速:"
0xF1,0x0E,0x37,0x39	"rpm"
0xF1,0x0E,0x37,0x38	"rpm"
0xF1,0x0E,0x37,0x37	"v"
0xF1,0x0E,0x37,0x36	""
0xF1,0x0E,0x37,0x35	"%"
0xF1,0x0E,0x37,0x34	"%"
0xF1,0x0E,0x37,0x33	"%"
0xF1,0x0E,0x37,0x32	"%"
0xF1,0x0E,0x37,0x31	"%"
0xF1,0x0E,0x37,0x30	"%"
0xF1,0x0E,0x37,0x29	"mBar"
0xF1,0x0E,0x37,0x28	"mA"
0xF1,0x0E,0x37,0x27	"mBar"
0xF1,0x0E,0x37,0x26	"mA"
0xF1,0x0E,0x37,0x25	"mBar"
0xF1,0x0E,0x37,0x24	"mA"
0xF1,0x0E,0x37,0x23	"mBar"
0xF1,0x0E,0x37,0x22	"mA"
0xF1,0x0E,0x37,0x21	"mBar"
0xF1,0x0E,0x37,0x20	"mA"
0xF1,0x0E,0x37,0x19	"mBar"
0xF1,0x0E,0x37,0x18	"mA"
0xF1,0x0E,0x37,0x17	""
0xF1,0x0E,0x37,0x16	""
0xF1,0x0E,0x37,0x15	""
0xF1,0x0E,0x37,0x14	""
0xF1,0x0E,0x37,0x13	""
0xF1,0x0E,0x37,0x12	""
0xF1,0x0E,0x37,0x11	""
0xF1,0x0E,0x37,0x10	""
0xF1,0x0E,0x37,0x09	""
0xF1,0x0E,0x37,0x08	""
0xF1,0x0E,0x37,0x07	""
0xF1,0x0E,0x37,0x06	""
0xF1,0x0E,0x37,0x05	""
0xF1,0x0E,0x37,0x04	""
0xF1,0x0E,0x37,0x03	""
0xF1,0x0E,0x37,0x02	""
0xF1,0x0E,0x37,0x01	""
0xF1,0x0E,0x37,0x61	"%"
0xF1,0x0E,0x37,0x60	"NM"
0xF1,0x0E,0x37,0x59	"NM"
0xF1,0x0E,0x37,0x58	"NM"
0xF1,0x0E,0x37,0x57	"NM"
0xF1,0x0E,0x37,0x56	"NM"
0xF1,0x0E,0x37,0x55	"NM"
0xF1,0x0E,0x37,0x54	""
0xF1,0x0E,0x37,0x53	""
0xF1,0x0E,0x37,0x52	""
0xF1,0x0E,0x37,0x51	""
0xF1,0x0E,0x37,0x50	""
0xF1,0x0E,0x37,0x49	""
0xF1,0x0E,0x37,0x48	""
0xF1,0x0E,0x37,0x47	""
0xF1,0x0E,0x37,0x46	""
0xF1,0x0E,0x37,0x45	""
0xF1,0x0E,0x37,0x44	""
0xF1,0x0E,0x37,0x43	""
0xF1,0x0E,0x37,0x42	"deg"
0xF1,0x0E,0x37,0x41	"rpm"
0xF1,0x0E,0x37,0x40	"KPH"
0xF1,0x0E,0x35,0x2A	"二驱(2WD)"
0xF1,0x0E,0x35,0x29	"全驱高"
0xF1,0x0E,0x35,0x28	"全驱低"
0xF1,0x0E,0x35,0x27	"换档"
0xF1,0x0E,0x35,0x26	"锁定"
0xF1,0x0E,0x35,0x25	"滑动"
0xF1,0x0E,0x35,0x24	"滑动"
0xF1,0x0E,0x35,0x23	"打开"
0xF1,0x0E,0x35,0x22	"打开"
0xF1,0x0E,0x35,0x21	"倒档跛行模式"
0xF1,0x0E,0x35,0x20	"4档跛行模式"
0xF1,0x0E,0x35,0x1F	"空档"
0xF1,0x0E,0x35,0x1E	"空档"
0xF1,0x0E,0x35,0x1D	"手动1档"
0xF1,0x0E,0x35,0x1C	"空档"
0xF1,0x0E,0x35,0x1B	"倒档"
0xF1,0x0E,0x35,0x1A	"6档"
0xF1,0x0E,0x35,0x19	"5档"
0xF1,0x0E,0x35,0x18	"4档"
0xF1,0x0E,0x35,0x17	"3档"
0xF1,0x0E,0x35,0x16	"2档"
0xF1,0x0E,0x35,0x15	"1档"
0xF1,0x0E,0x35,0x14	"衰退"
0xF1,0x0E,0x35,0x13	"经济"
0xF1,0x0E,0x35,0x12	"运动"
0xF1,0x0E,0x35,0x11	"冬季"
0xF1,0x0E,0x35,0x10	"正常"
0xF1,0x0E,0x35,0x0F	"激活-上"
0xF1,0x0E,0x35,0x0E	"激活-下"
0xF1,0x0E,0x35,0x0D	"激活"
0xF1,0x0E,0x35,0x0C	"关"
0xF1,0x0E,0x35,0x0B	"错误"
0xF1,0x0E,0x35,0x0A	"冲突"
0xF1,0x0E,0x35,0x09	"激活-上"
0xF1,0x0E,0x35,0x08	"激活-下"
0xF1,0x0E,0x35,0x07	"空置"
0xF1,0x0E,0x35,0x06	"无效值"
0xF1,0x0E,0x35,0x05	"M手动档"
0xF1,0x0E,0x35,0x04	"D前进档"
0xF1,0x0E,0x35,0x03	"N空档"
0xF1,0x0E,0x35,0x02	"R倒档"
0xF1,0x0E,0x35,0x01	"P停车档"
0xF1,0x0E,0x50,0x13	"应用数据版本号_应用数据循环冗赘校验(CRC16):"
0xF1,0x0E,0x50,0x12	"应用数据版本号_全部应用数据:"
0xF1,0x0E,0x50,0x11	"应用数据版本号_应用数据平台:"
0xF1,0x0E,0x50,0x10	"应用数据版本号_应用数据版本:"
0xF1,0x0E,0x50,0x0F	"应用软件版本号_应用软件循环冗赘校验(CRC16):"
0xF1,0x0E,0x50,0x0E	"应用软件版本号_全部应用软件:"
0xF1,0x0E,0x50,0x0D	"应用软件版本号_软件平台:"
0xF1,0x0E,0x50,0x0C	"应用软件版本号_软件版本:"
0xF1,0x0E,0x50,0x0B	"ECU安装日期:"
0xF1,0x0E,0x50,0x0A	"ECU软件版本号:"
0xF1,0x0E,0x50,0x09	"ECU软件号:"
0xF1,0x0E,0x50,0x08	"ECU硬件版本号:"
0xF1,0x0E,0x50,0x07	"ECU硬件号:"
0xF1,0x0E,0x50,0x06	"TCU标定变量代码:"
0xF1,0x0E,0x50,0x05	"ECU序列号:"
0xF1,0x0E,0x50,0x04	"供应商代号:"
0xF1,0x0E,0x50,0x03	"Geely软件版本号:"
0xF1,0x0E,0x50,0x02	"零件号:"
0xF1,0x0E,0x50,0x01	"车辆名称:"
0xF1,0x0E,0x40,0x1B	"电磁阀使能2"
0xF1,0x0E,0x40,0x1A	"电磁阀使能1"
0xF1,0x0E,0x40,0x19	"VBS电磁阀当前值10"
0xF1,0x0E,0x40,0x18	"VBS电磁阀当前值9"
0xF1,0x0E,0x40,0x17	"VBS电磁阀当前值8"
0xF1,0x0E,0x40,0x16	"VBS电磁阀当前值7"
0xF1,0x0E,0x40,0x15	"VBS电磁阀当前值6"
0xF1,0x0E,0x40,0x14	"VBS电磁阀当前值5"
0xF1,0x0E,0x40,0x13	"on/off电磁阀11"
0xF1,0x0E,0x40,0x12	"on/off电磁阀6"
0xF1,0x0E,0x40,0x11	"on/off电磁阀5"
0xF1,0x0E,0x40,0x10	"on/off电磁阀4"
0xF1,0x0E,0x40,0x0F	"on/off电磁阀3"
0xF1,0x0E,0x40,0x0E	"on/off电磁阀2"
0xF1,0x0E,0x40,0x0D	"on/off电磁阀1"
0xF1,0x0E,0x40,0x0C	"on/off数字输出11"
0xF1,0x0E,0x40,0x0B	"on/off数字输出6"
0xF1,0x0E,0x40,0x0A	"on/off数字输出5"
0xF1,0x0E,0x40,0x09	"on/off数字输出4"
0xF1,0x0E,0x40,0x08	"on/off数字输出3"
0xF1,0x0E,0x40,0x07	"on/off数字输出2"
0xF1,0x0E,0x40,0x06	"on/off数字输出1"
0xF1,0x0E,0x40,0x05	"数字输出备用2"
0xF1,0x0E,0x40,0x04	"数字输出备用1"
0xF1,0x0E,0x40,0x03	"驱动上数字输入"
0xF1,0x0E,0x40,0x02	"自动变速箱数字输入3"
0xF1,0x0E,0x40,0x01	"自动变速箱数字输入2"
0xF1,0x0E,0x41,0x01	"请输入VBScurrent\n输入范围:0-1100"
0xF1,0x0D,0x90,0x0A	"读取TCM的信号SAS_SteerWheelAngle的角度"
0xF1,0x0D,0x90,0x09	"TCM校准"
0xF1,0x0D,0x90,0x08	"清除TCM校准"
0xF1,0x0D,0x90,0x07	"TCM的信号SAS_SteerWheelAngle的角度已在-35°~35°范围内，点击‘确认’，开始标定"
0xF1,0x0D,0x90,0x06	"如果继续标定，请转动方向盘调整角度后，点击‘是’\n退出标定点击‘否’"
0xF1,0x0D,0x90,0x05	"进行SAS转角传感器零点标定的条件是TCM的信号SAS_SteerWheelAngle的角度在-35°~35°之间"
0xF1,0x0D,0x90,0x04	"°"
0xF1,0x0D,0x90,0x03	"当前TCM的信号SAS_SteerWheelAngle的角度为"
0xF1,0x0D,0x90,0x02	"标定不成功，请重新进行SAS转角传感器零点标定"
0xF1,0x0D,0x90,0x01	"请将车身静止，发送机转速为零"
0xF1,0x0D,0x91,0x07	"方向盘转角范围已在-35°~35°范围内，请勿操作方向盘，点击‘确认’开始SAS转向角标定"
0xF1,0x0D,0x91,0x06	"如果继续标定，请转动方向盘调整角度后，点击‘是’\n退出标定点击‘否’"
0xF1,0x0D,0x91,0x05	"标定允许的方向盘转角为-35°～35°"
0xF1,0x0D,0x91,0x04	"°"
0xF1,0x0D,0x91,0x03	"当前方向盘的角度为"
0xF1,0x0D,0x95,0x1C	"否定应答72:\nVIN码不支持重复写入"
0xF1,0x0D,0x95,0x1B	"后雨刷打开"
0xF1,0x0D,0x95,0x1A	"前雨刷打开"
0xF1,0x0D,0x95,0x19	"前、后雨刷全关闭"
0xF1,0x0D,0x95,0x18	"正常操作状态"
0xF1,0x0D,0x95,0x17	"向上"
0xF1,0x0D,0x95,0x16	"正常操作状态"
0xF1,0x0D,0x95,0x15	"Repeat状态"
0xF1,0x0D,0x95,0x14	"NM唤醒"
0xF1,0x0D,0x95,0x13	"MistWiping唤醒"
0xF1,0x0D,0x95,0x12	"位置灯唤醒"
0xF1,0x0D,0x95,0x11	"已唤醒"
0xF1,0x0D,0x95,0x10	"未唤醒"
0xF1,0x0D,0x95,0x0F	"间歇状态"
0xF1,0x0D,0x95,0x0E	"匀速状态"
0xF1,0x0D,0x95,0x0D	"关闭状态"
0xF1,0x0D,0x95,0x0C	"右转向状态"
0xF1,0x0D,0x95,0x0B	"左转向状态"
0xF1,0x0D,0x95,0x0A	"默认状态"
0xF1,0x0D,0x95,0x09	"自动模式"
0xF1,0x0D,0x95,0x08	"前除模式"
0xF1,0x0D,0x95,0x07	"高速模式"
0xF1,0x0D,0x95,0x06	"低速模式"
0xF1,0x0D,0x95,0x05	"关闭"
0xF1,0x0D,0x95,0x04	"喷射状态"
0xF1,0x0D,0x95,0x03	"关闭状态"
0xF1,0x0D,0x95,0x02	"标定"
0xF1,0x0D,0x95,0x01	"未标定"
0xF1,0x0D,0x31,0x14	"TCM_NM_IndicateState"
0xF1,0x0D,0x31,0x13	"TCM_localwakeupconditions"
0xF1,0x0D,0x31,0x12	"TCM_WakeUp"
0xF1,0x0D,0x31,0x11	"TCM_SW_Trip"
0xF1,0x0D,0x31,0x10	"TCM_SW_AutoLight"
0xF1,0x0D,0x31,0x0F	"TCM_SW_PositionLight"
0xF1,0x0D,0x31,0x0E	"TCM_SW_RearFogLight"
0xF1,0x0D,0x31,0x0D	"TCM_SW_FrontFogLight"
0xF1,0x0D,0x31,0x0C	"TCM_RearWipingMode"
0xF1,0x0D,0x31,0x0B	"TCM_Req_TurnIndicationAct"
0xF1,0x0D,0x31,0x0A	"TCM_SW_FlashLightSts"
0xF1,0x0D,0x31,0x09	"TCM_FrontWipingMode"
0xF1,0x0D,0x31,0x08	"TCM_WipingInterval_Sensitvity"
0xF1,0x0D,0x31,0x07	"TCM_SW_HighBeam"
0xF1,0x0D,0x31,0x06	"TCM_SW_LowBeam"
0xF1,0x0D,0x31,0x05	"TCM_FW_WasherSts"
0xF1,0x0D,0x31,0x04	"TCM_RW_WasherSts"
0xF1,0x0D,0x31,0x03	"SAS_CalibrationSts"
0xF1,0x0D,0x31,0x02	"SAS_SteerWheelRotSpd"
0xF1,0x0D,0x31,0x01	"SAS_SteerWheelAngle"
0xF1,0x0D,0x50,0x11	"ECU安装日期:"
0xF1,0x0D,0x50,0x10	"ECU刷写日期:"
0xF1,0x0D,0x50,0x0F	"ECU刷写维修店代号或设备号:"
0xF1,0x0D,0x50,0x0E	"ECU系统名称或发动机类型:"
0xF1,0x0D,0x50,0x0D	"ECU软件版本号:"
0xF1,0x0D,0x50,0x0C	"ECU软件号:"
0xF1,0x0D,0x50,0x0B	"ECU硬件版本号:"
0xF1,0x0D,0x50,0x0A	"ECU硬件号:"
0xF1,0x0D,0x50,0x09	"车辆识别号(VIN码):"
0xF1,0x0D,0x50,0x08	"ECU序列号:"
0xF1,0x0D,0x50,0x07	"ECU生产日期:"
0xF1,0x0D,0x50,0x06	"供应商代码:"
0xF1,0x0D,0x50,0x05	"Geely软件版本号:"
0xF1,0x0D,0x50,0x04	"零件号:"
0xF1,0x0D,0x50,0x03	"当前诊断会话模式:"
0xF1,0x0D,0x50,0x02	"驱动层软件版本:"
0xF1,0x0D,0x50,0x01	"车辆名称:"
0xF1,0x0D,0x40,0x04	"后雨刮电机启动"
0xF1,0x0D,0x40,0x03	"前雨刮电机启动"
0xF1,0x0D,0x40,0x02	"关闭前后雨刮电机"
0xF1,0x0D,0x40,0x01	"雨刮电机驱动"
0xF1,0x0C,0x50,0x0A	"零件号:"
0xF1,0x0C,0x50,0x09	"ECU安装日期:"
0xF1,0x0C,0x50,0x08	"ECU刷写日期:"
0xF1,0x0C,0x50,0x07	"ECU系统名称或发动机类型:"
0xF1,0x0C,0x50,0x06	"ECU软件版本号:"
0xF1,0x0C,0x50,0x05	"ECU硬件版本号:"
0xF1,0x0C,0x50,0x04	"车辆识别号(VIN码):"
0xF1,0x0C,0x50,0x03	"ECU序列号:"
0xF1,0x0C,0x50,0x02	"供应商代码:"
0xF1,0x0C,0x50,0x01	"车辆名称:"
0xF1,0x0B,0xA0,0x0B	"提示信息"
0xF1,0x0B,0xA0,0x04	"配置码写入失败!\n"
0xF1,0x0B,0xA0,0x03	"配置码写入成功!\n"
0xF1,0x0B,0xA0,0x02	"从EMS中获取数据失败，即将从GW系统中获取"
0xF1,0x0B,0xA0,0x01	"是否进行一键配置功能？一键配置是从EMS或GW(EMS获取失败后才从GW中获取)获取配置代码，将获取的配置代码写入IHU系统。\n点击[是]进行一键配置，点击[否]退出一键配置。"
0xF1,0x0B,0x92,0x01	"请输输频率"
0xF1,0x0B,0x90,0x0D	"randomoff"
0xF1,0x0B,0x90,0x0C	"randomon"
0xF1,0x0B,0x90,0x0B	"repeatoff"
0xF1,0x0B,0x90,0x0A	"repeatall"
0xF1,0x0B,0x90,0x09	"repeatone"
0xF1,0x0B,0x90,0x08	"MediaTrak-"
0xF1,0x0B,0x90,0x07	"MediaTrak+"
0xF1,0x0B,0x90,0x06	"Volume-3"
0xF1,0x0B,0x90,0x05	"Volume+3"
0xF1,0x0B,0x90,0x04	"FMseek-"
0xF1,0x0B,0x90,0x03	"FMseek+"
0xF1,0x0B,0x90,0x02	"AM"
0xF1,0x0B,0x90,0x01	"FM"
0xF1,0x0B,0x91,0x02	"FCS(前摄像头系统)"
0xF1,0x0B,0x91,0x01	"FRS(前雷达系统)"
0xF1,0x0B,0x81,0x07	"设置当前音量"
0xF1,0x0B,0x81,0x06	"设置歌曲播放模式"
0xF1,0x0B,0x81,0x05	"设置广播频率"
0xF1,0x0B,0x81,0x04	"当前歌曲"
0xF1,0x0B,0x81,0x03	"设置当前音量增减"
0xF1,0x0B,0x81,0x02	"FM搜台"
0xF1,0x0B,0x81,0x01	"广播模式"
0xF1,0x0B,0x50,0x0D	"ECU软件号:"
0xF1,0x0B,0x50,0x0C	"ECU硬件号:"
0xF1,0x0B,0x50,0x0B	"ECU生产日期:"
0xF1,0x0B,0x50,0x0A	"Geely软件版本号:"
0xF1,0x0B,0x50,0x09	"ECU安装日期:"
0xF1,0x0B,0x50,0x08	"ECU生产日期识别码:"
0xF1,0x0B,0x50,0x07	"ECU软件版本号:"
0xF1,0x0B,0x50,0x06	"ECU硬件版本号:"
0xF1,0x0B,0x50,0x05	"车辆识别码:"
0xF1,0x0B,0x50,0x04	"ECU序列号:"
0xF1,0x0B,0x50,0x03	"系统供应商识别码:"
0xF1,0x0B,0x50,0x02	"供应商零部件号:"
0xF1,0x0B,0x50,0x01	"车辆名称:"
0xF1,0x0B,0x40,0x05	"媒体音频"
0xF1,0x0B,0x40,0x04	"声音"
0xF1,0x0B,0x40,0x03	"蓝牙模块"
0xF1,0x0B,0x40,0x02	"键盘背光"
0xF1,0x0B,0x40,0x01	"显示屏背光"
0xF1,0x0B,0x41,0x01	"请输入音量\n范围:0-39"
0xF1,0x0A,0xA0,0x0B	"提示信息"
0xF1,0x0A,0xA0,0x04	"配置码写入失败!\n"
0xF1,0x0A,0xA0,0x03	"配置码写入成功!\n"
0xF1,0x0A,0xA0,0x02	"从EMS中获取数据失败，即将从GW系统中获取"
0xF1,0x0A,0xA0,0x01	"是否进行一键配置功能？一键配置是从EMS或GW(EMS获取失败后才从GW中获取)获取配置代码，将获取的配置代码写入ICU系统。\n点击[是]进行一键配置，点击[否]退出一键配置。"
0xF1,0x0A,0x92,0x04	"保养里程设置完成"
0xF1,0x0A,0x92,0x03	"10000KM"
0xF1,0x0A,0x92,0x02	"7500KM"
0xF1,0x0A,0x92,0x01	"5000KM"
0xF1,0x0A,0x90,0x1D	"前雾灯辅助照明"
0xF1,0x0A,0x90,0x1C	"白昼运行灯"
0xF1,0x0A,0x90,0x1B	"高位制动灯类型"
0xF1,0x0A,0x90,0x1A	"后视镜控制"
0xF1,0x0A,0x90,0x19	"默认语言"
0xF1,0x0A,0x90,0x18	"安全带报警方式"
0xF1,0x0A,0x90,0x17	"座椅传感器"
0xF1,0x0A,0x90,0x16	"120km/h车速报警"
0xF1,0x0A,0x90,0x15	"胎压监测"
0xF1,0x0A,0x90,0x14	"雨量光线传感器"
0xF1,0x0A,0x90,0x13	"PEPS(无钥匙进入一键式启动单元)"
0xF1,0x0A,0x90,0x12	"倒车雷达"
0xF1,0x0A,0x90,0x11	"上坡辅助"
0xF1,0x0A,0x90,0x10	"智能起停"
0xF1,0x0A,0x90,0x0F	"HBB"
0xF1,0x0A,0x90,0x0E	"HDC"
0xF1,0x0A,0x90,0x0D	"AVH"
0xF1,0x0A,0x90,0x0C	"换挡提示"
0xF1,0x0A,0x90,0x0B	"SAS(方向盘转角传感器)"
0xF1,0x0A,0x90,0x0A	"ABS/ESC"
0xF1,0x0A,0x90,0x09	"变速箱类型"
0xF1,0x0A,0x90,0x08	"发动机类型"
0xF1,0x0A,0x90,0x07	"转向类型"
